id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,purpose,addr_state,Country
184560,18000, 60 months,17.86%,455.72,D,D5,Associate Account Manager,1 year,RENT,50000,debt_consolidation,MI,United States
407153,6000, 36 months,12.99%,202.14,C,C2,Client Services Manager,5 years,MORTGAGE,95000,credit_card,IN,United States
414555,16000, 36 months,13.66%,544.21,C,C3,Recruiter,10+ years,MORTGAGE,69641,home_improvement,OR,United States
239000,16000, 36 months,13.33%,541.65,C,C3,dispatcher,9 years,MORTGAGE,70000,debt_consolidation,PA,United States
191697,4000, 36 months,18.25%,145.12,E,E1,Maint,5 years,MORTGAGE,40000,credit_card,FL,United States
300187,23000, 60 months,12.69%,519.68,C,C2,Respiratory Therapist,3 years,RENT,74000,debt_consolidation,OK,United States
46682,15000, 36 months,9.99%,483.94,B,B3,Territory Manager,< 1 year,MORTGAGE,60000,credit_card,AL,United States
343841,10800, 60 months,12.69%,244.03,C,C2,Patient Care Technician,7 years,RENT,60000,debt_consolidation,NY,United States
287432,13200, 36 months,9.17%,420.81,B,B2,office manager,1 year,RENT,60000,debt_consolidation,GA,United States
63462,15000, 60 months,12.05%,334.05,C,C1,Owner,9 years,MORTGAGE,140000,debt_consolidation,NM,United States
232386,4000, 36 months,10.99%,130.94,B,B4,Account Rep,10+ years,MORTGAGE,49500,debt_consolidation,OH,United States
162664,24000, 60 months,8.18%,488.71,B,B1,SVP Promotions,1 year,RENT,280000,debt_consolidation,California,United States
164043,3500, 36 months,17.57%,125.78,D,D4,Accounting Supervisor,10+ years,MORTGAGE,66000,other,GA,United States
217711,12250, 36 months,13.33%,414.71,C,C3,Customer Service Representative ,4 years,MORTGAGE,35000,debt_consolidation,Arizona,United States
382970,25000, 60 months,11.44%,549.07,B,B4,Safety Coordinator,8 years,OWN,68000,debt_consolidation,LA,United States
117132,30000, 60 months,16.99%,745.42,D,D3,IT Consultant ,3 years,RENT,144000,debt_consolidation,California,United States
319273,15000, 36 months,5.93%,455.86,A,A1,Controller,10+ years,OWN,150000,debt_consolidation,TX,United States
308156,35000, 60 months,9.99%,743.48,B,B3,Sales,1 year,MORTGAGE,160000,credit_card,NY,United States
396051,20150, 60 months,14.99%,479.27,C,C5,Diver,10+ years,MORTGAGE,80000,debt_consolidation,LA,United States
342245,6300, 36 months,12.29%,210.13,C,C1,0,n/a,RENT,58000,debt_consolidation,CT,United States
417685,12000, 36 months,15.59%,419.46,D,D1,Production Manager,6 years,RENT,65000,debt_consolidation,TX,United States
34099,1000, 36 months,16.55%,35.43,D,D2,0,n/a,MORTGAGE,28000,other,AR,United States
197504,18000, 36 months,8.18%,565.56,B,B1,Nurse Clinical Instructor,6 years,MORTGAGE,61000,debt_consolidation,AR,United States
202257,8000, 36 months,17.57%,287.5,D,D4,Quality assurance,10+ years,MORTGAGE,60000,major_purchase,WA,United States
26042,10000, 36 months,8.38%,315.12,B,B1,Operations Manager,4 years,MORTGAGE,90000,debt_consolidation,IN,United States
402240,23050, 36 months,12.39%,769.9,C,C1,Executive Assistant,< 1 year,RENT,55000,debt_consolidation,California,United States
65608,9000, 36 months,12.05%,299.15,C,C1,Office Services Manager,10+ years,RENT,103000,credit_card,California,United States
223613,2400, 36 months,8.18%,75.41,B,B1,lead person,8 years,OWN,30000,debt_consolidation,AL,United States
404621,13250, 60 months,22.99%,373.45,F,F1,ASSISTANT PLANT MANAGER,10+ years,MORTGAGE,92968,other,FL,United States
154144,6000, 36 months,5.32%,180.69,A,A1,Registered nurse ,4 years,OWN,45000,credit_card,AL,United States
304876,10000, 36 months,6.39%,305.99,A,A2,Professor,3 years,OWN,80000,debt_consolidation,VA,United States
49373,8000, 36 months,8.18%,251.36,B,B1,Emergency room Tech,8 years,RENT,42000,debt_consolidation,WA,United States
234518,28000, 36 months,9.17%,892.61,B,B2,President,6 years,OWN,500000,home_improvement,IL,United States
320986,2000, 36 months,6.92%,61.69,A,A4,Forman,10+ years,MORTGAGE,72000,credit_card,NC,United States
395811,16000, 60 months,9.49%,335.96,B,B2,Food Science Technician,< 1 year,RENT,32000,credit_card,NY,United States
344566,15000, 36 months,8.18%,471.3,B,B1,Owner /Hairstylist,10+ years,MORTGAGE,160000,credit_card,IL,United States
52154,5000, 36 months,12.05%,166.2,C,C1,0,n/a,RENT,26400,debt_consolidation,California,United States
23198,10000, 60 months,9.76%,211.3,B,B3,senior specialist ,2 years,MORTGAGE,85000,major_purchase,GA,United States
323489,24000, 36 months,5.93%,729.37,A,A1,Project engineer,10+ years,OWN,90000,debt_consolidation,IL,United States
48078,4800, 36 months,12.59%,160.79,C,C2,Executive Assistant,9 years,RENT,65000,debt_consolidation,NY,United States
192469,18300, 60 months,12.29%,409.77,C,C1,Assistant Manager ,10+ years,OWN,89000,debt_consolidation,CT,United States
135,20000, 60 months,13.44%,459.58,C,C3,Administrative Manager ,9 years,MORTGAGE,75000,debt_consolidation,MT,United States
236720,12600, 60 months,16.99%,313.08,D,D3,Custodian,7 years,RENT,35000,debt_consolidation,CO,United States
383406,10000, 36 months,14.99%,346.61,C,C5,Retail ops manager,3 years,RENT,55000,debt_consolidation,NJ,United States
130431,15000, 36 months,9.17%,478.19,B,B2,Owner,10+ years,OWN,60000,debt_consolidation,FL,United States
368871,18400, 36 months,10.99%,602.31,B,B4,AML Investigator,< 1 year,RENT,62400,debt_consolidation,California,United States
290009,4800, 36 months,13.99%,164.03,C,C4,Teacher ,4 years,MORTGAGE,49000,credit_card,TX,United States
54546,18450, 36 months,13.67%,627.63,C,C4,SUPERINTENDENT,10+ years,RENT,54000,debt_consolidation,NY,United States
192150,8000, 36 months,8.18%,251.36,B,B1,Intake Coordinator,2 years,RENT,25500,debt_consolidation,Kentucky,United States
181930,25000, 60 months,19.19%,651.14,E,E3,Registered Nurse,10+ years,RENT,125000,debt_consolidation,NY,United States
401519,28000, 36 months,8.19%,879.88,A,A5,Security/Safety Director,9 years,MORTGAGE,90000,credit_card,OH,United States
268979,8000, 36 months,8.18%,251.36,B,B1,Director,5 years,MORTGAGE,127000,debt_consolidation,CO,United States
156601,22000, 60 months,15.61%,530.45,D,D1,Teacher,7 years,RENT,63000,debt_consolidation,PA,United States
394880,35000, 60 months,13.66%,808.24,C,C3,Paralegal,2 years,MORTGAGE,78000,debt_consolidation,GA,United States
232367,12475, 60 months,24.99%,366.09,F,F4,Nurse,2 years,MORTGAGE,39000,credit_card,OH,United States
226175,10000, 36 months,17.86%,360.83,D,D5,Management,4 years,RENT,100000,house,California,United States
123327,10000, 36 months,17.57%,359.38,D,D4,Monitor Tech,8 years,RENT,32000,medical,FL,United States
186478,12000, 36 months,12.69%,402.54,C,C2,MassachusettsNAGER,10+ years,MORTGAGE,75000,home_improvement,CT,United States
85861,20000, 36 months,8.18%,628.39,B,B1,ELECTRICAL INSPECTOR,1 year,OWN,48000,debt_consolidation,FL,United States
76822,20000, 36 months,8.18%,628.39,B,B1,CEI,10+ years,MORTGAGE,115570,debt_consolidation,IN,United States
166628,9900, 36 months,13.99%,338.32,C,C4,Mail Carrier,10+ years,RENT,50000,other,NV,United States
42544,5000, 36 months,11.22%,164.22,B,B5,0,n/a,RENT,20784,debt_consolidation,WV,United States
318342,10000, 36 months,9.17%,318.79,B,B2,Owner ,6 years,MORTGAGE,89787,credit_card,GA,United States
385572,5000, 36 months,16.49%,177,D,D3,0,n/a,RENT,19356,debt_consolidation,GA,United States
93324,21000, 36 months,7.89%,657,A,A5,Process Engineering Manager,5 years,MORTGAGE,300000,credit_card,TX,United States
137294,24000, 36 months,7.89%,750.86,A,A5,Director of School Support,< 1 year,RENT,90000,credit_card,IL,United States
183177,21725, 60 months,25.78%,647.64,F,F5,Elementary Librarian,6 years,MORTGAGE,54342,debt_consolidation,TX,United States
375914,10000, 36 months,10.99%,327.34,B,B4,Security Officer,< 1 year,RENT,60000,debt_consolidation,California,United States
210558,6400, 36 months,15.61%,223.78,D,D1,sales,4 years,RENT,40000,moving,RI,United States
215716,18000, 36 months,7.89%,563.15,A,A5,Engineer,< 1 year,OWN,48000,credit_card,NY,United States
132472,9600, 36 months,13.99%,328.06,C,C4,Grid Operations Manager,3 years,RENT,181344,other,California,United States
175380,12000, 36 months,9.17%,382.55,B,B2,OPERATING ENGINEER,10+ years,RENT,72000,debt_consolidation,California,United States
174295,18000, 60 months,16.99%,447.25,D,D3,mason,10+ years,MORTGAGE,58000,debt_consolidation,MI,United States
238396,17500, 36 months,7.89%,547.5,A,A5,Software Developer,3 years,RENT,54000,credit_card,FL,United States
145468,15000, 60 months,16.99%,372.71,D,D3,Manger,8 years,RENT,65000,debt_consolidation,NJ,United States
305588,8000, 36 months,13.33%,270.83,C,C3,Physician assistant,4 years,MORTGAGE,100000,other,Kentucky,United States
18740,4000, 36 months,12.59%,133.99,C,C2,E4/AM3,3 years,MORTGAGE,56024,home_improvement,California,United States
162636,30625, 60 months,16.55%,753.72,D,D2,Managing Director ,5 years,MORTGAGE,950000,credit_card,SC,United States
38634,23000, 36 months,8.38%,724.78,B,B1,Senior Sales Representative,< 1 year,RENT,175000,debt_consolidation,FL,United States
33619,16000, 60 months,11.22%,349.64,B,B5,teacher,10+ years,RENT,92000,credit_card,FL,United States
18781,30000, 36 months,17.57%,1078.12,D,D4,Teacher,10+ years,MORTGAGE,106000,debt_consolidation,PA,United States
276993,6000, 36 months,12.29%,200.12,C,C1,service plumber,10+ years,MORTGAGE,55000,home_improvement,TX,United States
401344,18000, 60 months,14.31%,421.73,C,C4,Operations coordinator ,3 years,MORTGAGE,84000,debt_consolidation,OK,United States
236023,11000, 36 months,8.18%,345.62,B,B1,Security Dispatch ,3 years,RENT,35000,debt_consolidation,MI,United States
157638,28000, 36 months,7.89%,876,A,A5,Mgr Corp. Responsibility,10+ years,RENT,145000,debt_consolidation,California,United States
234759,33750, 36 months,16.55%,1195.74,D,D2,healthcare professional,10+ years,MORTGAGE,108000,credit_card,NY,United States
173393,24000, 36 months,9.17%,765.1,B,B2,Inside Sales,< 1 year,MORTGAGE,63000,debt_consolidation,NJ,United States
330237,7000, 36 months,7.89%,219,A,A5,Grants Analyst,10+ years,RENT,60403,debt_consolidation,California,United States
315449,30000, 36 months,12.69%,1006.35,C,C2,DEPARTMENT MANAGER,10+ years,RENT,87000,debt_consolidation,FL,United States
13833,10000, 36 months,13.67%,340.18,C,C4,Sr. Vice President,10+ years,MORTGAGE,500000,debt_consolidation,FL,United States
94440,10000, 36 months,6.89%,308.27,A,A3,Supervisor,10+ years,RENT,100000,credit_card,NJ,United States
147558,15000, 60 months,10.99%,326.07,B,B4,Business Manager,10+ years,MORTGAGE,57000,credit_card,MO,United States
199646,25000, 60 months,10.99%,543.44,B,B4,Attorney ,< 1 year,RENT,77000,major_purchase,NY,United States
251773,35000, 60 months,9.99%,743.48,B,B3,Engineer,1 year,RENT,125000,debt_consolidation,California,United States
34548,25000, 60 months,10.64%,539.09,B,B4,Vice President of Development,2 years,MORTGAGE,152000,debt_consolidation,GA,United States
385964,19750, 36 months,7.49%,614.26,A,A4,Strategy Associate,< 1 year,RENT,61000,credit_card,California,United States
217634,30800, 60 months,18.25%,786.32,E,E1,Science Teacher,10+ years,MORTGAGE,67000,home_improvement,FL,United States
124466,21625, 36 months,16.99%,770.89,D,D3,firefighter,8 years,MORTGAGE,105000,debt_consolidation,CT,United States
283362,6250, 36 months,16.55%,221.44,D,D2,Assistant Director,2 years,MORTGAGE,68000,debt_consolidation,TX,United States
370652,2400, 36 months,14.65%,82.79,C,C5,Accounts Receivable ,10+ years,RENT,60000,home_improvement,California,United States
267473,6500, 36 months,6.24%,198.46,A,A2,Digital Production Manager,4 years,RENT,65000,debt_consolidation,TN,United States
165590,10000, 36 months,9.17%,318.79,B,B2,Delivery Driver,10+ years,RENT,90000,major_purchase,IL,United States
50189,14000, 60 months,12.59%,315.62,C,C2,nurse,3 years,MORTGAGE,50000,credit_card,Maryland,United States
120383,12000, 60 months,16.99%,298.17,D,D3,Laborer,10+ years,RENT,32000,credit_card,IN,United States
46869,10000, 36 months,9.99%,322.63,B,B3,0,n/a,MORTGAGE,85000,credit_card,WI,United States
180712,35000, 60 months,22.99%,986.47,F,F2,Senior Project Manager,1 year,RENT,140000,major_purchase,OK,United States
38316,7250, 36 months,18.49%,263.9,E,E2,Inventory Manager,10+ years,RENT,54000,debt_consolidation,FL,United States
57689,20000, 60 months,20.99%,540.96,E,E5,Sr. Quality Engineer,10+ years,MORTGAGE,79000,debt_consolidation,VA,United States
242516,20000, 36 months,6.24%,610.62,A,A2,Owner,10+ years,MORTGAGE,70000,credit_card,California,United States
99417,10000, 36 months,10.99%,327.34,B,B4,welder/Fitter,5 years,MORTGAGE,63000,debt_consolidation,TX,United States
121369,10000, 36 months,9.99%,322.63,B,B3,Staff nurse-RN,3 years,MORTGAGE,90000,debt_consolidation,NY,United States
284550,10000, 60 months,19.52%,262.28,E,E3,Word Processor,10+ years,MORTGAGE,80000,debt_consolidation,Maryland,United States
191686,20000, 36 months,11.53%,659.81,B,B5,Ofc of Insp General-Special Investigator,10+ years,RENT,101000,debt_consolidation,Arizona,United States
160719,20000, 60 months,10.99%,434.75,B,B4,It manager,10+ years,MORTGAGE,88000,credit_card,NY,United States
336699,6000, 36 months,10.99%,196.41,B,B4,Transportation Electrical Engineer,10+ years,RENT,103000,vacation,California,United States
92183,18100, 60 months,18.55%,465.06,E,E2,Chief Appraiser,< 1 year,RENT,120000,other,California,United States
283579,15000, 36 months,6.68%,460.97,A,A3,Senior Vice President Creative,10+ years,MORTGAGE,300000,debt_consolidation,California,United States
83423,35000, 60 months,17.57%,880.61,D,D4,Senior Consultant,3 years,MORTGAGE,155000,credit_card,California,United States
231222,35000, 60 months,10.99%,760.82,B,B4,pharmacist,10+ years,MORTGAGE,150000,debt_consolidation,California,United States
349301,21000, 60 months,17.86%,531.67,D,D5,Engineering Tech,10+ years,RENT,91000,debt_consolidation,Maryland,United States
229164,6500, 36 months,8.18%,204.23,B,B1,sheet metal mechanic,10+ years,RENT,45000,debt_consolidation,Maryland,United States
290630,6000, 36 months,6.68%,184.39,A,A3,Communications Specialist,1 year,RENT,75000,credit_card,VA,United States
387254,10000, 36 months,8.67%,316.47,B,B1,Electrician,9 years,MORTGAGE,32000,debt_consolidation,FL,United States
311309,7000, 36 months,13.33%,236.98,C,C3,System Administrator,< 1 year,RENT,80000,debt_consolidation,FL,United States
154234,22375, 60 months,17.57%,562.96,D,D4,Account Analyst,2 years,MORTGAGE,60000,debt_consolidation,NC,United States
333457,28000, 36 months,7.89%,876,A,A5,APPS SYSTEM ENGINEER,2 years,MORTGAGE,121000,debt_consolidation,NC,United States
284697,5000, 36 months,6.68%,153.66,A,A3,Loader,4 years,RENT,14851,credit_card,VA,United States
316641,35000, 60 months,22.99%,986.47,F,F1,HR Operations Manager,10+ years,RENT,105000,debt_consolidation,FL,United States
26108,16000, 36 months,7.26%,495.94,A,A4,dir of sales,10+ years,MORTGAGE,200000,debt_consolidation,NJ,United States
310410,13000, 36 months,7.89%,406.72,A,A5,Manager,2 years,RENT,52000,credit_card,OR,United States
113074,13925, 36 months,17.86%,502.45,D,D5,Owner,10+ years,RENT,37000,other,California,United States
407027,7200, 36 months,14.99%,249.56,C,C5,shipping & receiving/warehouse ,6 years,RENT,25000,debt_consolidation,MN,United States
42097,6000, 36 months,15.41%,209.2,D,D1,Advanced Practice Nurse,2 years,MORTGAGE,109000,moving,IN,United States
241556,12000, 36 months,13.99%,410.08,C,C4,Account Sales Executive,3 years,RENT,40000,debt_consolidation,MI,United States
338444,24500, 60 months,13.33%,561.6,C,C3,rn,10+ years,RENT,67000,debt_consolidation,RI,United States
33431,5000, 36 months,10.64%,162.85,B,B4,Business Analyst,3 years,RENT,86000,credit_card,IL,United States
66309,15000, 36 months,13.67%,510.27,C,C4,correctional officer,< 1 year,RENT,35000,debt_consolidation,TX,United States
14626,30000, 60 months,9.76%,633.88,B,B3,Lead Biologist,5 years,MORTGAGE,109000,debt_consolidation,NY,United States
66270,2500, 36 months,9.99%,80.66,B,B3,Teacher,8 years,MORTGAGE,63500,major_purchase,OH,United States
155669,15000, 36 months,8.18%,471.3,B,B1,Satgehand,8 years,RENT,43000,debt_consolidation,California,United States
241282,4000, 36 months,7.89%,125.15,A,A5,chef,5 years,MORTGAGE,55000,other,CT,United States
331875,14000, 60 months,16.99%,347.87,D,D3,Director of Operations,7 years,MORTGAGE,125000,credit_card,MI,United States
127275,5000, 36 months,11.53%,164.96,B,B5,Legal Assistant,< 1 year,RENT,32000,debt_consolidation,VA,United States
240767,15000, 36 months,9.99%,483.94,B,B3,0,n/a,MORTGAGE,75000,debt_consolidation,OK,United States
285591,17000, 60 months,12.69%,384.11,C,C2,Contracting psychologist,5 years,MORTGAGE,85000,other,California,United States
4655,14400, 36 months,11.48%,474.72,B,B5,supervisor ,10+ years,MORTGAGE,45000,debt_consolidation,MN,United States
395347,16000, 36 months,11.99%,531.36,B,B5,letter carrier,8 years,MORTGAGE,74550,debt_consolidation,California,United States
15016,18000, 60 months,11.22%,393.35,B,B5,Sales,10+ years,MORTGAGE,40000,credit_card,NY,United States
197149,35000, 60 months,22.99%,986.47,F,F2,control room operator,10+ years,MORTGAGE,110000,debt_consolidation,UT,United States
93285,10000, 36 months,10.99%,327.34,B,B4,Manager,10+ years,OWN,48000,debt_consolidation,CO,United States
349729,20000, 36 months,9.17%,637.58,B,B2,Sales Executive,1 year,RENT,90000,credit_card,CO,United States
104549,1600, 36 months,15.61%,55.95,D,D1,Head Teller,2 years,RENT,30000,debt_consolidation,NJ,United States
415902,4750, 36 months,8.19%,149.27,A,A5,Internal account manager,7 years,RENT,42000,credit_card,California,United States
341450,24000, 60 months,10.99%,521.7,B,B4,Program Manager,10+ years,MORTGAGE,90845,credit_card,NJ,United States
403853,9000, 36 months,12.39%,300.61,C,C1,Client Services Coordinator,< 1 year,RENT,50000,credit_card,CO,United States
97261,9600, 36 months,12.69%,322.04,C,C2,Sales,1 year,RENT,45000,debt_consolidation,GA,United States
415338,16000, 60 months,12.99%,363.97,C,C2,operator,10+ years,MORTGAGE,115000,debt_consolidation,TX,United States
27930,11000, 60 months,13.67%,254.08,C,C4,Assistant manager ,10+ years,MORTGAGE,58000,debt_consolidation,OR,United States
104990,5000, 36 months,11.53%,164.96,B,B5,Letter carrier,10+ years,MORTGAGE,72900,debt_consolidation,AR,United States
223650,6000, 36 months,15.61%,209.79,D,D1,0,n/a,OWN,50000,other,IL,United States
113806,10250, 60 months,24.99%,300.8,F,F4,Operations Manager,10+ years,RENT,34300,debt_consolidation,NY,United States
18492,18175, 36 months,18.20%,658.9,E,E1,Patient Care Navigator,1 year,RENT,36374,debt_consolidation,NY,United States
333505,7700, 36 months,12.29%,256.82,C,C1,admin,8 years,RENT,39800,debt_consolidation,FL,United States
341680,12000, 36 months,7.89%,375.43,A,A5,Senior Project Manager,4 years,MORTGAGE,81700,credit_card,TX,United States
284230,20000, 60 months,13.33%,458.45,C,C3,Sr Network Eng ,10+ years,MORTGAGE,78500,debt_consolidation,IL,United States
145227,9000, 36 months,19.19%,330.77,E,E3,Patient Care Technician,4 years,RENT,30000,other,IL,United States
388932,10000, 60 months,21.99%,276.14,E,E5,Counselor,1 year,RENT,38000,debt_consolidation,SD,United States
4687,9600, 36 months,11.99%,318.82,C,C1,Athletic Director,10+ years,MORTGAGE,103000,credit_card,MN,United States
168933,21000, 36 months,9.17%,669.46,B,B2,Financial Products Examiner,5 years,RENT,106000,debt_consolidation,IL,United States
115437,18000, 60 months,12.29%,403.05,C,C1,Electritian,2 years,MORTGAGE,100000,debt_consolidation,LA,United States
358279,8000, 36 months,13.99%,273.39,C,C4,Service Desk,< 1 year,RENT,40000,debt_consolidation,MT,United States
